Info[2023-11-4 9:26:6]CELLLog::setLogPath success,<clientLog.txt,w>
Debug[2023-11-4 9:26:6]thread<1>,start
Debug[2023-11-4 9:26:6]thread<2>,start
Debug[2023-11-4 9:26:6]thread<3>,start
Debug[2023-11-4 9:26:6]thread<4>,start
Debug[2023-11-4 9:26:7]thread<4>,Connect<begin=750, end=1000>
Debug[2023-11-4 9:26:7]thread<3>,Connect<begin=500, end=750>
Debug[2023-11-4 9:26:7]thread<2>,Connect<begin=250, end=500>
Debug[2023-11-4 9:26:7]thread<1>,Connect<begin=0, end=250>
Debug[2023-11-4 9:30:29]thread<4>,clients<1000>,time<1.000055>,send<9249>
Debug[2023-11-4 9:30:30]thread<4>,clients<1000>,time<1.000842>,send<9741>
Debug[2023-11-4 9:30:31]thread<4>,clients<1000>,time<1.001188>,send<9239>
Debug[2023-11-4 9:30:32]thread<4>,clients<1000>,time<1.000521>,send<9744>
Debug[2023-11-4 9:30:33]thread<4>,clients<1000>,time<1.005181>,send<8977>
Debug[2023-11-4 9:30:34]thread<4>,clients<1000>,time<1.014113>,send<9204>
Debug[2023-11-4 9:30:35]thread<4>,clients<1000>,time<1.008181>,send<9670>
Debug[2023-11-4 9:30:36]thread<4>,clients<1000>,time<1.014468>,send<9610>
Debug[2023-11-4 9:30:37]thread<4>,clients<1000>,time<1.014436>,send<9118>
Debug[2023-11-4 9:30:38]thread<4>,clients<1000>,time<1.014344>,send<9612>
Debug[2023-11-4 9:30:39]thread<4>,clients<1000>,time<1.000701>,send<9243>
Debug[2023-11-4 9:30:40]thread<4>,clients<1000>,time<1.001711>,send<9733>
Debug[2023-11-4 9:30:41]thread<4>,clients<1000>,time<1.003364>,send<9218>
Debug[2023-11-4 9:30:42]thread<4>,clients<1000>,time<1.015030>,send<9605>
Debug[2023-11-4 9:30:43]thread<4>,clients<1000>,time<1.002442>,send<9227>
Debug[2023-11-4 9:30:44]thread<4>,clients<1000>,time<1.003214>,send<9220>
Debug[2023-11-4 9:30:45]thread<4>,clients<1000>,time<1.014147>,send<9613>
Debug[2023-11-4 9:30:46]thread<4>,clients<1000>,time<1.011957>,send<9634>
Debug[2023-11-4 9:30:47]thread<4>,clients<1000>,time<1.002972>,send<9222>
Debug[2023-11-4 9:30:48]thread<4>,clients<1000>,time<1.002147>,send<9729>
Debug[2023-11-4 9:30:49]thread<4>,clients<1000>,time<1.003539>,send<9217>
Debug[2023-11-4 9:30:50]thread<4>,clients<1000>,time<1.014385>,send<9257>
Debug[2023-11-4 9:30:51]thread<4>,clients<1000>,time<1.001668>,send<9098>
Debug[2023-11-4 9:30:52]thread<4>,clients<1000>,time<1.013616>,send<9372>
Debug[2023-11-4 9:30:53]thread<4>,clients<1000>,time<1.014348>,send<9612>
